,Label,Outcome
2178,Physical,skin cancer prevention
2179,Physical,Western Ontario and McMaster Universities Osteoarthritis Index (WOMAC) score
2180,Physical,sleep factor of the Hamilton Depression Scale
2174,Physical,"posttherapy revised AFS score, hormonal profile during triptorelin therapy"
2539,Physical,signal-averaged electrocardiographic variables
1264,Physical,exercise capacity
1262,Physical,Serious late radiation toxicity
9771,Physical,adoption of fee-based arsenic testing
9772,Physical,"glucose, glycated hemoglobin, lipid levels, and estimated glomerular filtration rate, treatment with azelnidipine"
9773,Physical,Mean predialysis anti-Xa level 20-24 hours
9774,Physical,Pneumocystis carinii pneumonia
9775,Physical,Serum butyrate
9776,Physical,Coronary sinus release of creatinine phosphokinase-MB 5 minutes after reperfusion
9777,Physical,left atrial remodeling
9778,Physical,lithium clearance
9779,Physical,nerve injury
9780,Physical,psychometric abnormalities
9781,Physical,in vitro IL-1 production
9782,Physical,guideline-consistent behavior
9783,Physical,renal and total body norepinephrine (NE) kinetics (radioisotope dilution)
9784,Physical,fundus motility
9770,Physical,reactance (p less than 0.01)
9785,Physical,cardiac indexes
9787,Physical,tolerability
9788,Physical,the cardiovascular response
9789,Physical,sexuality
9790,Physical,liver or muscle enzymes
9791,Physical,3-methylhistidine
9792,Physical,clogged ear
9793,Physical,incidence of joint disorders
9794,Physical,lower recurrence rates
9795,Physical,blood lipid levels
9796,Physical,"PANSS, CGI, MADRS and neuropsychological tests"
9797,Physical,activated CECs
9798,Physical,RR was significantly higher
9799,Physical,bone formation rate
9800,Physical,total effective rate
9786,Physical,Apparent cure
9801,Physical,resting VAS
9769,Physical,clinical cardiovascular events
9767,Physical,least-squares analyses of reciprocal serum creatinine
9737,Physical,overall breastfeeding rate
9738,Physical,primary colostomy
9739,Physical,epidural catheter migration
9740,Physical,blepharitis
9741,Physical,wasting
9742,Physical,greater reduction of serum MDA levels
9743,Physical,netilmicin pharmacokinetics
9744,Physical,weight gain
9745,Physical,significantly less marked antiestrogenic manifestations
9746,Physical,remission as measured with the PHQ9 and the IDS-SR
9747,Physical,enamel and dentine
9748,Physical,prolongation of QS2c
9749,Physical,overexpression of both Ki-67 and MDM2
9750,Physical,dynamic and isometric back extension and flexion strength
9768,Physical,"norepinephrine (60%), arginine-vasopressin (50%), and serotonin"
9751,Physical,GHQ success
9753,Physical,spatial memory assessed before
9754,Physical,head circumference gain
9755,Physical,median OS
9756,Physical,oxygen consumption
9757,Physical,pneumatic artificial source of voice incorporated in a regular tracheoesophageal (TE) shunt valve
9758,Physical,"nucleus, sarcoplasmic reticulum, mitochondria and cellular oedema"
9759,Physical,HBV DNA <
9760,Physical,angina recurrence
9761,Physical,CH2O
9762,Physical,antibody concentration to exceed 100 mIU/ml
9763,Physical,"hypotension, syncope"
9764,Physical,reduces the episiotomy rate
9765,Physical,implant stability quotient
9766,Physical,post-inflammatory hyperpigmentation
9752,Physical,serum adiponectin
9736,Physical,partial resolution of symptoms
9802,Physical,stress responses
9804,Physical,primary care-based ambulatory opioid detoxification (AOD)
9839,Physical,tumor necrosis factor (TNF)
9840,Physical,intra-abdominal bleeding
9841,Physical,converted
9842,Physical,time velocity integral of E-wave
9843,Physical,growth potential
9844,Physical,Ambulatory SBP and DBP
9845,Physical,prodromal signs of ototoxicity
9846,Physical,hemodynamic
9847,Physical,clinically significant change in routine haematology or serum biochemistry
9848,Physical,physical fitness
9849,Physical,percentage of patients with endoscopically-verified healing
9850,Physical,ulceration
9851,Physical,health status
9852,Physical,subfraction three (HDL3)
9838,Physical,cure of their infection
9853,Physical,stratum corneum hydration
9855,Physical,average plasma lidocaine level
9856,Physical,"Reflux, total, and antacid scores"
9857,Physical,biochemical and cell count parameters
9858,Physical,clinical endpoints
9859,Physical,excretion of 3-HIA
9860,Physical,SVR rates
9861,Physical,incision-to-delivery time
9862,Physical,cumulative relapse rate
9863,Physical,normocapnia
9864,Physical,Flea burdens
9865,Physical,101-point numeric rating scale
9866,Physical,"diet with higher risks of atherosclerosis, cancer, and other degenerative diseases"
9867,Physical,threshold
9868,Physical,hypofibrinolytic condition
9854,Physical,plasma porphobilinogen concentration
9803,Physical,Solid cancers
9837,Physical,osteocalcin (OC)
9835,Physical,Remission duration
9805,Physical,O'Leary-Sant validated IC questionnaire or with voiding charts
9806,Physical,hepatitis B virus DNA
9807,Physical,total antioxidant status
9808,Physical,MCP-1
9809,Physical,and overlapping gastroesophageal reflux disease
9810,Physical,alter the dismal prognosis
9811,Physical,hip posture
9812,Physical,no clinically significant differences
9813,Physical,aspirin reactivity units
9814,Physical,time on mechanical ventilation
9815,Physical,complete remission rate of nasopharyngeal primary lesions
9816,Physical,nerve damage
9817,Physical,vitamin D insufficiency
9818,Physical,"postoperative infections, length of stay and inflammatory markers"
9836,Physical,kinematic parameters for motor control
9819,Physical,self-rated outcome
9821,Physical,Borg/VE slope
9822,Physical,CD68
9823,Physical,low density lipoprotein cholesterol ( LDL-cholesterol
9824,Physical,knee extension strength
9825,Physical,vasomotor flushing
9826,Physical,reflux score
9827,Physical,metabolic control in type 2 diabetic patients
9828,Physical,CMRO2
9829,Physical,gait velocity
9830,Physical,Mean modification of diet in renal disease (MDRD)
9831,Physical,acetaminophen and glucose absorption
9832,Physical,rating scales
9833,Physical,physiologic effects
9834,Physical,5-year patencies
9820,Physical,anti-PT and anti-FHA antibodies
9735,Physical,sexual maturation on cation handling of cells
9734,Physical,VZV antibody geometric mean titer (GMT; day 28)
9733,Physical,change in hemoglobin level
680,Physical,response biomarker
679,Physical,glutathione
678,Physical,propagation rate
677,Physical,class-II to class-I furcation conversion
676,Physical,oronasal breathing
675,Physical,Levels of many vitamins
674,Physical,increase in the sweating threshold
673,Physical,high-sensitivity C-reactive protein
672,Physical,surgical complication rate
671,Physical,Qmax
670,Physical,skin ulcers
669,Physical,mean skin temperature
668,Physical,disease-free life
667,Physical,linked this measure of serotonergic function
681,Physical,catabolism of triacylglycerol-rich lipoproteins
666,Physical,bleeding
664,Physical,operative bleeding and immediate post-operative pain
663,Physical,regard to the cecal intubation rate
662,Physical,Blood glycerol levels
661,Physical,17-OHP
660,Physical,"function, walking speed, and position sense"
659,Physical,AQ-J-21 ( consisting of 21 items significantly associated with HPDD diagnosis
658,Physical,Cecal intubation time
657,Physical,concurrent antidiabetic therapy
656,Physical,Performance characteristics
655,Physical,reduction of arterial blood pressure
9660,Physical,compression-decompression cardiopulmonary resuscitation
9661,Physical,Subgingival bacterial samples
9662,Physical,retarding aging effect
9663,Physical,functional myocardial impairment
665,Physical,creatinine clearance
9664,Physical,"immune success rates of I, II, III type"
682,Physical,classic mutations
684,Physical,CD40 ligand
714,Physical,volume reduction rate of individual tumor nodule
713,Physical,B-thromboglobulin and platelet factor 4 plasma levels
712,Physical,rebleed rate
711,Physical,"Plaque index (PI), BOP, PD, gingival margin position (GMP), relative vertical and horizontal clinical attachment level (RVCAL and RHCAL), vertical and horizontal bone level (VBL and HBL) and furcation closure"
710,Physical,heart rate
709,Physical,Short- and long-term effects
708,Physical,cancer incidence
707,Physical,CYP21
706,Physical,time curves ( AUCs
705,Physical,effect size
704,Physical,radiographic progression
703,Physical,degrees of straight leg raising (SLR)
702,Physical,"Clinical, biochemical, and 48-hour ambulatory electrocardiographic data"
701,Physical,regional relapse-free rate
683,Physical,damage score and number of eroded joints
700,Physical,P-selectin
698,Physical,branched-chain KA
697,Physical,unstable angina
696,Physical,immunogenicity and safety
695,Physical,Postprandial triglyceride levels
694,Physical,"risk of cancer, cancer death, and major cardiovascular events"
693,Physical,improvements in sitting balance
692,Physical,LDL- and HDL-cholesterol
691,Physical,hematocrit level
690,Physical,restored consciousness
689,Physical,urinary sodium excretion
688,Physical,"age, gender, BMI, time-point for intervention, time interval between anti-parkinson pharmacy intake and sampling, levodopa doses, duration, or severity of PD"
687,Physical,Antibody concentrations
686,Physical,dark adaptability
685,Physical,excretion rate curve
699,Physical,B-TG and PF4 plasma levels and ADP-induced platelet aggregation
9665,Physical,soluble Fas ligand
9666,Physical,"Coagulation factors, 25-hydroxy vitamin D, and heart rate variability (24 h Holter)"
9667,Physical,mean postoperative Snore Index (SI)
9703,Physical,performance of plasters
9704,Physical,SVI
9705,Physical,pulmonary function
9706,Physical,sympathetic and the parasympathetic activity
9707,Physical,Subjective global facial appearance scores
9708,Physical,Phosphorus
9709,Physical,reduce blood lipid levels
9710,Physical,healing outcomes
9711,Physical,serum triglycerides
9712,Physical,antitumor activity
9713,Physical,urinary peptide levels
9714,Physical,true risk of pregnancy
9715,Physical,pharmacodynamic
9716,Physical,Platelet aggregation
9702,Physical,Streptococcus pyogenes
9717,Physical,urticarial symptoms
9719,Physical,frequencies of eczema
9720,Physical,hemodynamic stability
9721,Physical,mean umbilical arterial and venous pH
9722,Physical,unresectable hepatoma
9723,Physical,"Analgesia requirements, vital signs, blood glucose, and incidence of nausea and vomiting"
9724,Physical,Lean body mass (LBM)
9725,Physical,Increased conduit vessel stiffness
9726,Physical,complement factors
9727,Physical,plethysmographic evaluation for RAO
9728,Physical,upper extremity bradykinesia
9729,Physical,Ca x P product levels
9730,Physical,skin rash
9731,Physical,Gastric pH
9732,Physical,defined by consecutive negative blood cultures for MAC
9718,Physical,Peak ejection rate and peak diastolic filling rate
9701,Physical,recurrence rate after TUR
9700,Physical,platelet function
9699,Physical,frequency of recurrences
9668,Physical,CTV
9669,Physical,total cholesterol or cholesterol fractions
9670,Physical,"Clinical improvement, chest radiograph changes, evidence of airway obstruction, and bacteriologic flora of sputum"
9671,Physical,regulating subcutaneous blood flow
9672,Physical,ulcer
9673,Physical,attention
9674,Physical,no posts fracture and polycarbonate resin crowns fragmentation
9675,Physical,number of infections
9676,Physical,Arterial compliance
9677,Physical,abnormality was anemia
9678,Physical,( p=0.07 )
9679,Physical,functional
9680,Physical,eyelid swelling
9681,Physical,residual periodontal pathogens
9682,Physical,saturated fatty acids
9683,Physical,"T cell subpopulations, NK activity"
9684,Physical,haemodynamic variables
9698,Physical,"noninvasive hemodynamic parameters, retinal vessel measurement"
9697,Physical,liver blood tests nor histological appearances of the liver
9696,Physical,PP amplification
9695,Physical,itching or burning
9694,Physical,development of progressive disease
9693,Physical,heart rate
9869,Physical,in the plasmapheresis group
9692,Physical,serum PSA
9690,Physical,fidelity
9689,Physical,pain scores
9688,Physical,detectable DTCs
9687,Physical,systolic PAP and the heart rate-corrected IVRT '
9686,Physical,clinical efficacy
9685,Physical,frequent heartburn
9691,Physical,waking-induced impairment of neurobehavioral performance
9870,Physical,T and free- T levels
9871,Physical,Plasma samples
9872,Physical,target vessel revascularization (TVR)
1370,Physical,Oxygen saturation
1369,Physical,mechanical efficiency
1368,Physical,atherogenic lipids
1367,Physical,total ApoB
1366,Physical,Vi seroprotection rates
1365,Physical,Apgar scores
1364,Physical,systemic interleukin-6 (IL-6) levels
1363,Physical,LDL-ApoB catabolism
1362,Physical,salivary cortisol concentration
1361,Physical,range of motion (ROM) of the lumbar spine
1360,Physical,creatinine clearance
1359,Physical,left ventricular parameters
1358,Physical,ELF
1357,Physical,oral health perceived impacts
1371,Physical,side effects
1356,Physical,core symptomatology
1354,Physical,reaction times
1353,Physical,Stimulated platelet thromboxane formation
1352,Physical,"age, gender, BMI"
1351,Physical,anemia
1350,Physical,postoperative arrhythmia
1349,Physical,moment of support
1348,Physical,peak effect
1347,Physical,Mechanical efficiency
1346,Physical,Stool fat (g/day)
1345,Physical,"laboratory investigations (kidney and liver functions, haematological parameters)"
1344,Physical,partial remission
1343,Physical,tumor shrinkage
1342,Physical,ASSR
1341,Physical,AQ-J-10 ( consisting of 10 of the 21 items with an effect size > 0.17 )
1355,Physical,antihypertensive effect
1340,Physical,Predialysis systolic blood pressure
1372,Physical,Junctional ectopic tachycardia
1374,Physical,response rate
1404,Physical,mean pH
1403,Physical,coronary events
1402,Physical,intragastric acidity
1401,Physical,AQ-J
1400,Physical,Clinic BP
1399,Physical,onset time
1398,Physical,improvement of post-operative results
1397,Physical,patient 'well-being '
1396,Physical,cardiac output
1395,Physical,Cormack-Lehane grade
1394,Physical,maximal prolongation of activated partial thromboplastin time (APTT)
1393,Physical,heart rate
1392,Physical,uterine tachysystole
1391,Physical,occurrence of post-operative complications
1373,Physical,therapeutic times
1390,Physical,depression
1388,Physical,levels of influenza-specific IgA and IgG antibodies
1387,Physical,alanine
1386,Physical,ratio of oxidized glutathione to reduced glutathione
1385,Physical,FVC
1384,Physical,block of this reversal
1383,Physical,insulin incremental area under curve
1382,Physical,mean blood loss in irrigation fluid
1381,Physical,wet/dry weight ratio
1380,Physical,apoE in VLDL+LDL
1379,Physical,Mean cardiac output
1378,Physical,factors IX and X
1377,Physical,volume reduction rate of individual tumor nodule
1376,Physical,cardiac function
1375,Physical,frequency of uterine hyperstimulation or hypertonus. Abnormal fetal heart rate tracings
1389,Physical,heart failure symptoms
1339,Physical,mean (sd) arterial pressure (mmHg)
1338,Physical,American Fertility Society (AFS) score reduction
1337,Physical,ADP (5 microM) induced aggregation
1301,Physical,symptoms and poorer well-being
1300,Physical,plasma AA and branched-chain KA
1299,Physical,influenza-specific IgM antibodies
1298,Physical,postoperative nausea and vomiting
1297,Physical,Intake and serum levels of vitamin B12 and folate
1296,Physical,phonophobia
1295,Physical,stool fat excretion
1294,Physical,clinical outcomes
1293,Physical,Clinical
1292,Physical,slower (faster) emptying
1291,Physical,expression of the CD40-ligand biomarker
1290,Physical,relative resistance
1289,Physical,blood pressure or plasma triglyceride concentration
1288,Physical,total number and effective compressions number of PCEA
1302,Physical,accumulate as much bone ash
1287,Physical,cytokine-only peripheral CD34+ cell mobilization
1285,Physical,mean number of relapses per year
1284,Physical,Nonfasting serum lipid and lipoproteins and plasma tHcy and cysteine levels
1283,Physical,ATP
1282,Physical,measured cardiac parameters
1281,Physical,infection
1280,Physical,duration and severity of PD
1279,Physical,ratio of the total number with effective compressions number
1278,Physical,not satisfactory
1277,Physical,resistance of LDL to oxidation
1276,Physical,peak systemic TNF levels
1275,Physical,Cure rates
1274,Physical,"consequences of a minor stroke, a major stroke, and a major bleeding episode"
1273,Physical,levodopa doses on cortisol concentration
1272,Physical,Postprandial glucose
1286,Physical,effect size
1303,Physical,lumbar flexion range
1304,Physical,renal function
1305,Physical,and significantly improved lung function
1336,Physical,A1C reduction
1335,Physical,binary angiographic in-segment restenosis
1334,Physical,radiographic progression
1333,Physical,knee reposition error
1332,Physical,post-operative inflammatory factors with a reduction in peri-operative trauma and stress
1331,Physical,incidence rate for bleeding complications requiring surgical intervention
1330,Physical,supine DBP
1329,Physical,A1C
1328,Physical,self-perceived impacts
1327,Physical,metabolic cost
1326,Physical,accelerated infarction rate
1325,Physical,Angiographic restenosis at 6-month angiography
1324,Physical,NOLD
1323,Physical,gastric ulcers
1322,Physical,total cholesterol-high-density lipoprotein cholesterol ratio
1321,Physical,Tissue plasminogen activator antigen concentration
1320,Physical,equal ultrafiltration
1306,Physical,Postprandial AUC (0-2 h) of intact glucagon-like peptide-1
1307,Physical,Distinct lower extremity joint moment
1308,Physical,lower extremity joint mechanics
1309,Physical,VLDL1-ApoB production rate
1310,Physical,CFA
1311,Physical,apoCIII
1405,Physical,prolonged impairment
1312,Physical,or
1314,Physical,rate of ulcer healing
1315,Physical,Mean blood flow
1316,Physical,volume of postoperative bleeding
1317,Physical,mean thermogenic response
1318,Physical,clinic and ambulatory BPs
1319,Physical,Diurnal salivary cortisol rhythm
1313,Physical,LDL- and HDL-cholesterol
715,Physical,OS
1406,Physical,physical activity
1408,Physical,fasting plasma insulin
9907,Physical,MVA
9908,Physical,16S rRNA oligodeoxynucleotide probes and dot-blot hybridization
9909,Physical,antioxidative effect
9910,Physical,tumor necrosis factor-alpha
9911,Physical,physostigmine plasma concentrations
9912,Physical,area of each wart compared with entry area
9913,Physical,I-PSS
9914,Physical,serum uric acid
9915,Physical,endurance of the deep cervical flexors
9916,Physical,"IL-2 receptor expression of peripheral blood mononuclear cells and significant rises in numbers of Leu11 (CD16) +, OKM1 (CD11) + and OKIa1 (HLA-DR)"
9917,Physical,condylomata acuminata
9918,Physical,postoperative nausea and postoperative vomiting
9919,Physical,prognostic factors
9920,Physical,left ventricular ejection fraction (EF)
9906,Physical,extensor power
9921,Physical,VM and SOL H-reflex latency and amplitude
9923,Physical,level of remineralization
9924,Physical,prolongation of the QTc interval
9925,Physical,phenotypic characteristics of T-lymphocyte subsets in blood
9926,Physical,impending hypoxic
9927,Physical,mean supine diastolic blood pressure reductions
9928,Physical,anterior lower facial height
9929,Physical,therapeutic or chronic immunomodulatory activities
9930,Physical,positive response rate
9931,Physical,CIN3 positive
9932,Physical,"safety, anti-plaque, and anti-gingivitis effects"
9933,Physical,CHD risk factors
9934,Physical,BBT
9935,Physical,severe emetic sequelae (SES)
9936,Physical,diltiazem-induced hypotension [ defined by systolic blood pressure (SBP) < 90 mm Hg ]
9922,Physical,PC
9937,Physical,root mean square of the successive differences in R-R intervals on the ECG (RMSSD)
9905,Physical,TIBC
9903,Physical,serum EMAb negative conversion rate
9873,Physical,initiation
9874,Physical,sensitization
9875,Physical,total urinary arsenic excreted
9876,Physical,reduction from baseline values
9877,Physical,LDL. APO-A1
9878,Physical,emergency PTCA
9879,Physical,menopausal hot flushes
9880,Physical,total serum bilirubin (TSB) concentrations
9881,Physical,irritative and obstructive symptoms
9882,Physical,TS levels
9883,Physical,CSF Abeta concentrations
9884,Physical,BE levels
9885,Physical,GMTs to FHA
9886,Physical,median time to progression
9904,Physical,lactate PD
9887,Physical,ODR values
9889,Physical,growth modeling
9890,Physical,Thoracic fluid content index and left ventricular hemodynamics
9891,Physical,retransplantation
9892,Physical,Serum triazolam concentrations
9893,Physical,perioperative increase in cortisol
9894,Physical,Apparent phalangeal ultrasound transmission velocity (APU)
9895,Physical,relapses
9896,Physical,Abeta in plasma and cerebrospinal fluid (CSF)
9897,Physical,Ki-67 expression levels
9898,Physical,natural history of symptomatic reflux esophagitis
9899,Physical,transient neurological symptoms
9900,Physical,Event-related brain potentials (ERPs)
9901,Physical,muscarinic effects
9902,Physical,basal plasma glucagon
9888,Physical,cardiovascular endurance
9938,Physical,neuropsychologic functioning
9939,Physical,relationship between multisensory temporal processing
9940,Physical,(c) did not affect visual and auditory parietal target P3 components
1438,Physical,hospitalization rates
1437,Physical,knee motion
1436,Physical,fever
1435,Physical," myocardial infarction, or target vessel revascularization"
1434,Physical,low operative weight
1433,Physical,combined
1432,Physical,hematocrit level
1431,Physical,V/M (max) ratio
1430,Physical,diameter of the superficial temporal and radial arteries
1429,Physical,incidence of
1428,Physical,cholesterol
1427,Physical,oronasal breathing
1426,Physical,effects of JET
1425,Physical,based on interleukin-6 and C-reactive protein levels
1439,Physical,VLDL2-ApoB
1424,Physical,postoperative lactic acidosis levels
1422,Physical,SH frequency
1421,Physical,seroprotection rates
1420,Physical,physical improvements
1419,Physical,probabilities of relapse
1418,Physical,the acute-phase response by means of C-reactive protein (CRP)
1417,Physical,Tantrumming
1416,Physical,poor laryngoscopic views
1415,Physical,risk of relapse
1414,Physical,standardized uptake value (SUVmax) reductions from baseline
1413,Physical,Fever
1412,Physical,total hip BMD
1411,Physical,"lipid, apo B, lipoprotein (a) [ Lp (a) ], and total homocysteine (tHcy) levels"
1410,Physical,morbidity
1409,Physical,tHcy
1423,Physical,Neck BMD
1440,Physical,Salivary cortisol
1441,Physical,fever-related
1442,Physical,Plasma FVIII activity
9941,Physical,tooth mobility
9942,Physical,median DFS and OS
1471,Physical,range of bleeding
1470,Physical,DPP4 inhibition
1469,Physical,total fractional catabolic rate of VLDL1-ApoB
1468,Physical,"impact of age, gender, body mass index (BMI)"
1467,Physical,avoiding
1466,Physical,diabetes
1465,Physical,Exercise induced change of thromboxane synthesis
1464,Physical,stroke pattern
1463,Physical,LDL resistance to oxidative modification
1462,Physical,WCE
1461,Physical,rebleed rate
1460,Physical,postprandial glucose
1459,Physical,operative bleeding
1458,Physical,damage score
1457,Physical,function
1443,Physical,increased levels of GSH
1444,Physical,Respiratory rate
1445,Physical,complete remission
1446,Physical,Systolic
1447,Physical,stimulate the response to influenza vaccination
1448,Physical,rise in TnT
1407,Physical,ORR
1449,Physical,response to treatment
1451,Physical,biochemical
1452,Physical,clinically significant anemia
1453,Physical,cervical ripening and labor induction
1454,Physical,bioequivalent
1455,Physical,cardiac output (CO)
1456,Physical,number of nighttime awakenings due to asthma
1450,Physical,sodium excretion in 24-hour urine
1263,Physical,intraocular pressure [IOP]
716,Physical,Seroconversion and seroprotection rates and geometric mean antibody concentrations
718,Physical,hypoestrogenic state
1090,Physical,Night urinary sodium and potassium excretion
1089,Physical,onset time
1088,Physical,"visual acuity, intraocular pressure [IOP], initial hyphema size )"
1087,Physical,circulating lipid levels
1086,Physical,CFA (%
1085,Physical,"healing rate, pain relief, blood examination and adverse reactions"
1084,Physical,Respiratory rate
1083,Physical,Gross Motor Function
1082,Physical,perception of susceptibility
1081,Physical,leg problems
1080,Physical,autism
1079,Physical,risk factors for JET
1078,Physical,Serum potassium
1077,Physical,Children 's Sleep Habits Questionnaire and daily sleep diaries
1091,Physical,N-terminal pro-brain natriuretic peptide
1076,Physical,vitality subscale of the Medical Outcome Scale Short Form-36 (SF-36)
1074,Physical,increase of the ASSR and BIS ( ASSR and BIS
1073,Physical,Equilibration of creatinine and urea
1072,Physical,Kaplan-Meier survivorship
1071,Physical,"plasma LDL-cholesterol, triacylglycerol and total ApoB"
1070,Physical,bifidobacteria
1069,Physical,objective response rate (ORR)
1068,Physical,secondary hemorrhage
1067,Physical,mild dermatological alterations
1066,Physical,mean blood pressure
1065,Physical,rickets
1064,Physical,failed
1063,Physical,Bifidobacterium-predominant flora
1062,Physical,birth weight
1061,Physical,revised AFS score
1075,Physical,"operative time, blood loss and complication rates"
1060,Physical,complex walking tasks
1092,Physical,perfusion circuit
1094,Physical,VLDL-triglyceride
1124,Physical,Average Change of the PGI-R
1123,Physical,VLDL1-ApoB
1122,Physical,incidence rate for bleeding complications requiring surgical intervention
1121,Physical,bone pathology
1120,Physical,resting metabolism
1119,Physical,hypothalamic-pituitary-adrenal (HPA) axis
1118,Physical,rebleed
1117,Physical,ATP
1116,Physical,Exercise induced change of thromboxane synthesis
1115,Physical,breakthrough bleeding
1114,Physical,secondary post-tonsillectomy haemorrhage
1113,Physical,weight loss
1112,Physical,mental health
1111,Physical,febrile neutropenia
1093,Physical,sleep
1110,Physical,hypothalamic-pituitary-adrenal (HPA) axis
1108,Physical,gastric ulcers
1107,Physical,need for abdominal pressure
1106,Physical,"Total knee scores, knee function scores, pain scores, WOMAC scores, knee motion, and activity scores"
1105,Physical,Apical hypertrophy
1104,Physical,apoCIII and apoE in VLDL+LDL and in HDL
1103,Physical,peak delta growth hormone response and area under the curve growth hormone response
1102,Physical,feasibility and diagnostic utility
1101,Physical,range of bleeding
1100,Physical,lower extremity joint moment
1099,Physical,blood pressure
1098,Physical,circumferential hypertrophy
1097,Physical,ApoB pool sizes of larger triacylglycerol-rich VLDL particles
1096,Physical,B-thromboglobulin (B-TG) and platelet factor 4 (PF4) plasma levels and ADP-induced platelet aggregation
1095,Physical,coefficient of fat absorption (CFA)
1109,Physical,colorectal cancer
1125,Physical,water immersion calorimetry
1059,Physical,Auditory Steady State Response (ASSR) and Bispectral Index (BIS) analysis of electrooculogram
1057,Physical,"volume of drained blood, transfusion requirements, knee motion or wound status"
1022,Physical,plasma branched-chain KA concentration
1021,Physical,left ventriculogram (LVG)
1020,Physical,healing of rat gastric ulcers
1019,Physical,Hematologic toxicities
1018,Physical,Vineland Adaptive Behaviour Scales (VABS)
1017,Physical,cardiovascular events
1016,Physical,VLDL-apoB
1015,Physical,calorific value
1014,Physical,"beta, t (1/2), and t (max)"
1013,Physical,thromboxane formation
1012,Physical,proportion of DNA aneuploid histograms
1011,Physical,equal ultrafiltration
1010,Physical,reactive balance control
1009,Physical,Intra-operative blood loss
1023,Physical,Bifidobacteria
1008,Physical,ratio of geometric means for Cmax and AUCs
1006,Physical,Adequate pituitary suppression
1005,Physical,"CD40 ligand, P-selectin"
1004,Physical,objective response rate ( ORR
1003,Physical,target lesion revascularization
1002,Physical,bone mineralization
1001,Physical,WOMAC scores
1000,Physical,NOLD
999,Physical,cardiac output
998,Physical,relative resistance
997,Physical,signal-averaged electrocardiography
996,Physical,SH rate
995,Physical,VLDL particles and apoCIII in VLDL and LDL
994,Physical,6-minute walk test
993,Physical,"cancer incidence, cancer deaths, and major cardiovascular events (myocardial infarction, stroke, and cardiovascular death)"
1007,Physical,comfortable walking time
1058,Physical,"posttherapy revised AFS score, hormonal profile during triptorelin therapy"
1024,Physical,optimal enhancement of abdominal organs and deep vessels
1026,Physical,gain of sweating
1056,Physical,"changes in hematocrit level, transfusion requirements, and quality of life"
1055,Physical,ventricular arrhythmias
1054,Physical,symptom control
1053,Physical,physical activity
1052,Physical,amplitude of ADP-induced platelet aggregation
1051,Physical,hypertension
1050,Physical,hyporesponsiveness of the typhoid response
1049,Physical,"No ulcer, exulceration, or de-epithelialization"
1048,Physical,effect of cement pressurization and significance of early radiolucency
1047,Physical,ventricular tachycardia
1046,Physical,core temperature
1045,Physical,change of position
1044,Physical,Salivary cortisol concentrations
1043,Physical,Smoking cessation
1025,Physical,range of motion (ROM) of the lumbar spine
1042,Physical,number of the remaining class-II furcations
1040,Physical,CYP21 heterozygote frequency for classic mutations
1039,Physical,apoCIII
1038,Physical,sweating
1037,Physical,Whole blood aggregation after collagen stimulation
1036,Physical,"risk of cancer, cancer death, and major cardiovascular events"
1035,Physical,"diagnostic certainty, time to appropriate therapy, functional capacity, hospitalization and mortality"
1034,Physical,rating system of the Knee Society
1033,Physical,unconsciousness
1032,Physical,VLDL particle concentration
1031,Physical,Heart rate
1030,Physical,ADP (5 microM) induced aggregation
1029,Physical,median blood loss
1028,Physical,Sitting Assessment
1027,Physical,apoCIII in VLDL+LDL
1041,Physical,Menopausal quality of life
1126,Physical,k was significantly increased
1127,Physical,paediatric tonsillectomy
1128,Physical,"Postprandial glucose, insulin and triglyceride concentrations"
1227,Physical,"postprandial glucose, insulin and triglyceride concentrations"
1226,Physical,hypertrophy
1225,Physical,"high-sensitivity C-reactive protein, CD40 ligand, P-selectin, and N-terminal pro-brain natriuretic peptide"
1224,Physical,total ApoB
1223,Physical,fat
1222,Physical,VLDL particles
1221,Physical,blood pressure lowered
1220,Physical,postprandial glucose peak
1219,Physical,numerical rating scale (NRS) of low back pain while the patient is moving
1218,Physical,plasma AA
1217,Physical,Total knee scores
1216,Physical,A1C or FPG
1215,Physical,endogenous leucine flux (ELF)
1214,Physical,urinary sodium excretion and reduction of arterial blood pressure
1228,Physical,The success rate at 48 hours
1213,Physical,haemolysis
1211,Physical,A1C reduction
1210,Physical,specific neurobiological markers
1209,Physical,gain of sweating
1208,Physical,diaphoresis
1207,Physical,BIS
1206,Physical,success rate and time required to reach cecum
1205,Physical,BNP
1204,Physical,Motor Function
1203,Physical,Stimulated platelet thromboxane formation
1202,Physical,peak effect
1201,Physical,lower airways
1200,Physical,Metabolic responses
1199,Physical,coronary events
1198,Physical,more time touching the adult
1212,Physical,Grade 3/4 non-haematologic toxicity
1197,Physical,hyporesponsiveness of the typhoid response
1229,Physical,power patterns
1231,Physical,safety and immunogenicity
1261,Physical,glucose-lowering effects. Postprandial triglyceride levels
1260,Physical,VLDL-apolipoprotein
1259,Physical,rate of ulcer healing
1258,Physical,half (13) CO (2) excretion time
1257,Physical,"high-sensitivity C-reactive protein, P-selectin, and N-terminal pro-brain natriuretic peptide"
1256,Physical,Vi seroprotection rates
1255,Physical,Congestive heart failure
1254,Physical,incremental glucose peak
1253,Physical,surgical resection following radiotherapy failure
1252,Physical,CGM-derived indices of hypoglycemia
1251,Physical,Contrast enhancement and diagnostic acceptability
